name,Lat,Long,fclass
Subway/Java City on the Quad,29.4535639,-98.5620398,restaurant
Little Rhein Steak House,29.4218135,-98.4880698,restaurant
Texas de Brazil,29.4266542,-98.4890676,restaurant
Volvo Center,29.5153173,-98.4471795,car_dealership
Rod East Volkswagen,29.5151819,-98.4458652,car_dealership
School of Science and Technology,29.5153546,-98.443816,school
Walmart Pharmacy,29.5181857,-98.6329936,pharmacy
Chacon Autos,29.5174058,-98.6365898,car_dealership
Little Caesars,29.4371649,-98.6846959,fast_food
Subway,29.4377902,-98.6783759,fast_food
UIW Campus Police,29.4668393,-98.4670325,police
District 7 Fire and Rescue,29.5280093,-98.7222275,fire_station
Richard Beene Site,29.2465834,-98.512914,archaeological
Land Heritage Institute Headquarters,29.2452822,-98.5170768,tourist_info
Corn Crib Photographic Exhibit by Ansen Seale,29.2486998,-98.5240836,artwork
Applewhite House Ruins 1852-1930s,29.2486459,-98.5241,ruins
Richard Beene Site,29.2560972,-98.5193741,archaeological
None,29.5327806,-98.427353,shelter
Blue Hole,29.4688201,-98.4673037,attraction
Moontrail,29.4517036,-98.5052475,clothes
KIPP Aspire Academy,29.4501812,-98.5125108,school
D&B Liquor,29.4336586,-98.7043165,beverages
The UPS Store,29.4340429,-98.7052472,post_office
North Park Mazda,29.5260155,-98.4996256,car_dealership
Mercedes-Benz of San Antonio,29.5273413,-98.4978448,car_dealership
North Park Subaru,29.5298058,-98.4979789,car_dealership
Benson Honda,29.5237007,-98.4987246,car_dealership
Adelante Mexican Food,29.4907903,-98.4585554,restaurant
Starbucks,29.5998341,-98.4186458,cafe
Milberger's Landscaping & Nursery,29.6000331,-98.4162569,garden_centre
Battle of Salado Creek (1842),29.4869581,-98.4172985,battlefield
Salado Creek Overlook,29.5637829,-98.5251261,viewpoint
Papa Nacho's Cantina,29.6643378,-98.6319611,restaurant
Subway,29.660821,-98.6298405,fast_food
Double Dave's Pizzaworks,29.6607397,-98.6297938,restaurant
Thai Lao Orchid,29.6604358,-98.6296591,restaurant
Willies Grill & Icehouse,29.668831,-98.6316224,restaurant
Bakery Lorraine,29.6080284,-98.5983636,fast_food
Chick-fil-A,29.5929876,-98.6139588,fast_food
Grimaldi's Pizzeria,29.592545,-98.6122182,restaurant
Ayala & Associates Driving School,29.567736,-98.5803807,school
Five Star Cleaners & Laundry,29.5677214,-98.5804394,laundry
Spec's Deli,29.5659768,-98.5871039,fast_food
Sapporo Sushi & Asian Cuisine,29.5721506,-98.5975142,restaurant
Picnikins Patio Cafe,29.5717501,-98.5969903,restaurant
Burger King,29.4431628,-98.3614667,fast_food
Denny's,29.446312,-98.3617241,restaurant
Pizza Hut,29.4431429,-98.3615266,restaurant
Popeyes,29.4431305,-98.361595,fast_food
Subway,29.4463544,-98.3604232,fast_food
Freetail Brewing Company,29.6017424,-98.5612324,restaurant
Scuzzi's Italian Grill,29.601528,-98.5611974,restaurant
Harmony Volunteer Fire Department,29.3009819,-98.3717488,fire_station
